Item,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha
Maize (corn),2000,1500000.0,2160000.0,1440.0
Maize (corn),2001,1640000.0,2790000.0,1701.2
Maize (corn),2002,1592315.0,2408596.0,1512.6
Maize (corn),2003,1670914.0,2710848.0,1622.4
Maize (corn),2004,1351327.0,2607139.0,1929.3
Maize (corn),2005,1771123.0,2905559.0,1640.5
Maize (corn),2006,1888185.0,3247200.0,1719.7
Maize (corn),2007,1615304.0,2928793.0,1813.2
Maize (corn),2008,1700000.0,2367237.0,1392.5
Maize (corn),2009,1884368.0,2439000.0,1294.3
Maize (corn),2010,2008346.0,3464541.0,1725.1
Maize (corn),2011,2131887.0,3376862.0,1584.0
Maize (corn),2012,2159322.0,3749880.0,1736.6
Maize (corn),2013,2123138.0,3592688.0,1692.2
Maize (corn),2014,2116141.0,3513171.0,1660.2
Maize (corn),2015,2098240.0,3825000.0,1823.0
Maize (corn),2016,2337586.0,3339000.0,1428.4
Maize (corn),2017,2086178.0,3186000.0,1527.2
Maize (corn),2018,2273283.0,4013777.44,1765.6
Maize (corn),2019,2296174.0,3582000.0,1560.0
Maize (corn),2020,2135741.0,3789000.0,1774.1
Maize (corn),2021,2168603.0,3304430.0,1523.8
Maize (corn),2022,2113520.0,3082220.0,1458.3
Maize (corn),2023,2430014.0,4285206.0,1763.4
Maize (corn),2024,2414536.0,4023000.0,1666.2
Rice,2000,13882.0,52349.0,3771.0
Rice,2001,13200.0,45000.0,3409.1
Rice,2002,13000.0,45000.0,3461.5
Rice,2003,10781.0,40502.0,3756.8
Rice,2004,13223.0,49295.0,3728.0
Rice,2005,15940.0,62677.0,3932.1
Rice,2006,23106.0,64840.0,2806.2
Rice,2007,16457.0,47256.0,2871.5
Rice,2008,16734.0,21881.0,1307.6
Rice,2009,21829.0,42202.0,1933.3
Rice,2010,20181.0,85536.0,4238.4
Rice,2011,28034.0,111229.0,3967.6
Rice,2012,29630.0,138204.0,4664.3
Rice,2013,31349.0,125256.0,3995.5
Rice,2014,28390.0,112263.0,3954.3
Rice,2015,29438.0,116473.0,3956.6
Rice,2016,29337.0,101510.0,3460.1
Rice,2017,30392.0,81198.0,2671.7
Rice,2018,25966.0,112605.0,4336.7
Rice,2019,24992.0,160585.0,6425.5
Rice,2020,28276.0,180890.0,6397.3
Rice,2021,32028.0,186000.0,5807.4
Rice,2022,44255.0,192299.0,4345.2
Rice,2023,38942.0,229064.0,5882.2
Rice,2024,43057.0,282152.0,6553.0
Sugar cane,2000,57243.0,3941524.0,68856.0
Sugar cane,2001,47794.0,3550792.0,74293.7
Sugar cane,2002,54010.0,4501363.0,83343.1
Sugar cane,2003,50468.0,4204055.0,83301.4
Sugar cane,2004,54191.0,4660995.0,86010.5
Sugar cane,2005,56537.0,4800820.0,84914.7
Sugar cane,2006,54621.0,4932839.0,90310.3
Sugar cane,2007,59201.0,5204214.0,87907.5
Sugar cane,2008,54465.0,5112000.0,93858.4
Sugar cane,2009,65774.0,5610702.0,85302.7
Sugar cane,2010,68738.0,5709586.0,83063.0
Sugar cane,2011,79000.0,5307341.0,67181.5
Sugar cane,2012,87340.0,5823964.0,66681.5
Sugar cane,2013,85857.0,6673725.0,77730.7
Sugar cane,2014,72180.0,6409929.0,88804.8
Sugar cane,2015,77830.0,7164790.0,92056.9
Sugar cane,2016,86876.0,7094619.0,81663.7
Sugar cane,2017,67708.0,4751605.24,70177.9
Sugar cane,2018,73080.0,5262157.0,72005.4
Sugar cane,2019,71935.0,4606100.0,64031.4
Sugar cane,2020,89800.0,6810898.0,75845.2
Sugar cane,2021,93288.0,7659100.0,82101.7
Sugar cane,2022,117960.0,8799800.0,74599.9
Sugar cane,2023,80700.0,5556100.0,68848.8
Sugar cane,2024,134900.0,9365300.0,69424.0
Tea leaves,2000,120390.0,1027000.0,8530.6
Tea leaves,2001,124290.0,1281000.0,10306.5
Tea leaves,2002,131450.0,1248000.0,9494.1
Tea leaves,2003,131450.0,1277000.0,9714.7
Tea leaves,2004,136700.0,1411000.0,10321.9
Tea leaves,2005,141300.0,1428000.0,10106.2
Tea leaves,2006,147080.0,1350000.0,9178.7
Tea leaves,2007,149190.0,1607000.0,10771.5
Tea leaves,2008,157700.0,1503000.0,9530.8
Tea leaves,2009,158294.0,1366000.0,8629.5
Tea leaves,2010,171916.0,1735000.0,10092.1
Tea leaves,2011,187855.0,1643000.0,8746.1
Tea leaves,2012,190600.0,1606000.0,8426.0
Tea leaves,2013,198600.0,1880000.0,9466.3
Tea leaves,2014,203006.0,1935000.0,9531.7
Tea leaves,2015,209400.0,1735000.0,8285.6
Tea leaves,2016,218500.0,2057000.0,9414.2
Tea leaves,2017,232700.0,1912000.0,8216.6
Tea leaves,2018,236200.0,2143000.0,9072.8
Tea leaves,2019,269400.0,1995000.0,7405.3
