Year,Crop,Harvested_Area_ha,Production_kg,Yield_kg_per_ha,Weighted_Mean_NDVI,Rainfall_mm,Weighted_Mean_Temperature_C
2000,Maize,1500000.0,2160000000.0,1440.0,0.518890533,991.2543231,31.86873417
2000,Rice,13882.0,52349000.0,3771.0,0.552471219,850.9242209,30.68419388
2000,Sugarcane,57243.0,3941524000.0,68856.0,0.597614922,1355.680401,30.7438327
2000,Tea,120390.0,1027000000.0,8530.6,0.602309573,1111.508038,28.53867526
2000,Wheat,131834.0,204232000.0,1549.2,0.518452763,835.072341,28.96923899
2001,Maize,1640000.0,2790000000.0,1701.2,0.567526469,1241.764138,30.31652434
2001,Rice,13200.0,45000000.0,3409.1,0.59073612,1242.024533,28.88378464
2001,Sugarcane,47794.0,3550792000.0,74293.7,0.631959154,1643.924375,29.97012916
2001,Tea,124290.0,1281000000.0,10306.5,0.64724717,1448.844004,26.93851408
2001,Wheat,129209.0,256997000.0,1989.0,0.604927766,1170.410494,26.06682207
2002,Maize,1592315.0,2408596000.0,1512.6,0.56721981,1267.337974,29.99785435
2002,Rice,13000.0,45000000.0,3461.5,0.620786577,1334.085093,27.88973768
2002,Sugarcane,54010.0,4501363000.0,83343.1,0.622600182,1689.936556,30.01193737
2002,Tea,131450.0,1248000000.0,9494.1,0.644554263,1428.124807,26.89438318
2002,Wheat,144794.0,307215000.0,2121.7,0.590606517,1232.797767,26.40007479
2003,Maize,1670914.0,2710848000.0,1622.4,0.573118448,1135.643418,30.49153908
2003,Rice,10781.0,40502000.0,3756.8,0.634160789,1261.043658,28.5307713
2003,Sugarcane,50468.0,4204055000.0,83301.4,0.62725325,1539.765461,30.41756076
2003,Tea,131450.0,1277000000.0,9714.7,0.660529329,1354.514082,27.1503367
2003,Wheat,151135.0,378665000.0,2505.5,0.610583693,1194.852688,26.26071631
2004,Maize,1351327.0,2607139000.0,1929.3,0.559779995,1095.686872,30.38873111
2004,Rice,13223.0,49295000.0,3728.0,0.630363198,1016.65119,28.69353545
2004,Sugarcane,54191.0,4660995000.0,86010.5,0.614648681,1420.86022,30.22327087
2004,Tea,136700.0,1411000000.0,10321.9,0.654071778,1300.119107,26.95744761
2004,Wheat,152826.0,379425000.0,2482.7,0.596894069,1086.624783,26.37150089
2005,Maize,1771123.0,2905559000.0,1640.5,0.542770358,971.5124196,31.12398949
2005,Rice,15940.0,62677000.0,3932.1,0.589494548,971.7200175,29.18834449
2005,Sugarcane,56537.0,4800820000.0,84914.7,0.609464879,1326.933695,30.65181708
2005,Tea,141300.0,1428000000.0,10106.2,0.643424597,1181.37699,27.48471207
2005,Wheat,159477.0,368879000.0,2313.1,0.581245003,977.1279583,27.13609563
2006,Maize,1888185.0,3247200000.0,1719.7,0.551765608,1504.625213,30.31632014
2006,Rice,23106.0,64840000.0,2806.2,0.612305039,1509.310821,28.04559973
2006,Sugarcane,54621.0,4932839000.0,90310.3,0.617422681,1932.4154,29.97366314
2006,Tea,147080.0,1350000000.0,9178.7,0.640882044,1601.215479,26.78906434
2006,Wheat,150488.0,329193000.0,2187.5,0.568301693,1310.410837,26.6854381
2007,Maize,1615304.0,2928793000.0,1813.2,0.595034601,1188.315837,29.40504065
2007,Rice,16457.0,47256000.0,2871.5,0.649387804,1216.536233,27.51197842
2007,Sugarcane,59201.0,5204214000.0,87907.5,0.647896663,1616.163569,29.41717685
2007,Tea,149190.0,1607000000.0,10771.5,0.677505076,1378.592405,26.09296606
2007,Wheat,104176.0,322320000.0,3094.0,0.621013993,1179.612653,25.07024624
2008,Maize,1700000.0,2367237000.0,1392.5,0.551125234,1094.564553,30.68164562
2008,Rice,16734.0,21881000.0,1307.6,0.622019938,1047.066387,28.3231842
