Item,Element,Year,Unit,Value
Rice,Area harvested,2000,ha,13882
Rice,Yield,2000,kg/ha,3771
Rice,Production,2000,t,52349
Rice,Area harvested,2001,ha,13200
Rice,Yield,2001,kg/ha,3409.1
Rice,Production,2001,t,45000
Rice,Area harvested,2002,ha,13000
Rice,Yield,2002,kg/ha,3461.5
Rice,Production,2002,t,45000
Rice,Area harvested,2003,ha,10781
Rice,Yield,2003,kg/ha,3756.8
Rice,Production,2003,t,40502
Rice,Area harvested,2004,ha,13223
Rice,Yield,2004,kg/ha,3728
Rice,Production,2004,t,49295
Rice,Area harvested,2005,ha,15940
Rice,Yield,2005,kg/ha,3932.1
Rice,Production,2005,t,62677
Rice,Area harvested,2006,ha,23106
Rice,Yield,2006,kg/ha,2806.2
Rice,Production,2006,t,64840
Rice,Area harvested,2007,ha,16457
Rice,Yield,2007,kg/ha,2871.5
Rice,Production,2007,t,47256
Rice,Area harvested,2008,ha,16734
Rice,Yield,2008,kg/ha,1307.6
Rice,Production,2008,t,21881
Rice,Area harvested,2009,ha,21829
Rice,Yield,2009,kg/ha,1933.3
Rice,Production,2009,t,42202
Rice,Area harvested,2010,ha,20181
Rice,Yield,2010,kg/ha,4238.4
Rice,Production,2010,t,85536
Rice,Area harvested,2011,ha,28034
Rice,Yield,2011,kg/ha,3967.6
Rice,Production,2011,t,111229
Rice,Area harvested,2012,ha,29630
Rice,Yield,2012,kg/ha,4664.3
Rice,Production,2012,t,138204
Rice,Area harvested,2013,ha,31349
Rice,Yield,2013,kg/ha,3995.5
Rice,Production,2013,t,125256
Rice,Area harvested,2014,ha,28390
Rice,Yield,2014,kg/ha,3954.3
Rice,Production,2014,t,112263
Rice,Area harvested,2015,ha,29438
Rice,Yield,2015,kg/ha,3956.6
Rice,Production,2015,t,116473
Rice,Area harvested,2016,ha,29337
Rice,Yield,2016,kg/ha,3460.1
Rice,Production,2016,t,101510
Rice,Area harvested,2017,ha,30392
Rice,Yield,2017,kg/ha,2671.7
Rice,Production,2017,t,81198
Rice,Area harvested,2018,ha,25966
Rice,Yield,2018,kg/ha,4336.7
Rice,Production,2018,t,112605
