County,Crop,Year,Area_ha,Production_tons,Yield_t_ha,NDVI,Rainfall_mm,Temperature_C,Elevation_m,Slope_Degrees,Soil_Moisture,Evapotranspiration_mm
Baringo,Beans,2019,21020,19977,0.95038059,0.521844607,1194.124695,32.23390657,1396.422952,9.067460354,0.189043441,707.8705582
Bomet,Beans,2019,32273,42592,1.31974096,0.690929089,1701.396283,28.15866095,1905.329942,5.558003884,0.38903972,1123.709827
Bungoma,Beans,2019,78930,56775,0.719308248,0.632323364,2009.668895,30.11177144,1553.924765,4.234981364,0.368932604,938.2848185
Busia,Beans,2019,21083,21412,1.01560499,0.634227956,2262.51008,30.63398572,1229.264375,3.551980104,0.359095054,829.6819571
Homa Bay,Beans,2019,48558,29696,0.611557313,0.64454072,1885.016711,31.0128096,1337.668199,4.055499256,0.343102075,924.3743819
Kajiado,Beans,2019,49621,31812,0.641099534,0.393251764,856.6418192,34.50392347,1433.88776,4.802322515,0.287694797,498.0962927
Kakamega,Beans,2019,60653,34869,0.574893245,0.659676238,2331.746613,29.13620193,1506.001934,4.282490046,0.355286572,978.3080859
Kericho,Beans,2019,17528,14935,0.852065267,0.704539269,1863.73143,28.50418639,1812.953605,8.42308492,0.29842051,1095.517649
Kisii,Beans,2019,49799,24149,0.484929416,0.702404087,2122.283236,26.70733033,1794.404485,7.549536285,0.418166457,1087.761393
Machakos,Beans,2019,64880,30123,0.464287916,0.449404915,1149.943226,32.36397664,1313.118025,6.025219254,0.258467237,559.7507588
Makueni,Beans,2019,38880,27575,0.709233539,0.44987336,971.5848102,33.84146161,1074.619032,5.44433328,0.252791567,541.8421095
Meru,Beans,2019,98235,36025,0.366722655,0.525397069,1622.92785,33.04976687,1305.769757,5.517892722,0.242124411,716.7239701
Migori,Beans,2019,33575,24198,0.720714818,0.616025983,1741.52282,30.74093776,1377.596784,4.41738536,0.330214339,938.3988613
Murang'a,Beans,2019,46997,16606,0.353341703,0.675817521,1820.737324,25.40589726,1815.846645,11.66395739,0.375012331,1123.741729
Nakuru,Beans,2019,45977,36575,0.795506449,0.558473805,1217.417424,29.31893847,2130.842906,6.231667917,0.307212237,887.4921754
Nandi,Beans,2019,32088,23179,0.722357268,0.698141132,1865.745163,27.42790686,1905.125646,7.115943796,0.417806771,1077.026279
Narok,Beans,2019,48121,34728,0.721680763,0.566200152,1304.765822,29.3366161,2008.71699,6.890073272,0.302584085,948.6173545
Nyamira,Beans,2019,33090,23150,0.699607132,0.72984089,2095.337929,26.58007222,1877.297522,8.05204414,0.425517366,1134.201688
Siaya,Beans,2019,33194,17197,0.518075556,0.640019618,2043.829544,30.51793474,1262.020072,3.676658336,0.39666656,802.273137
Trans Nzoia,Beans,2019,62428,25202,0.403697059,0.611018168,1543.127255,29.1125637,1954.223384,5.473983856,0.386798772,961.1144262
Baringo,Cowpeas,2019,632,398,0.629746835,0.511465381,1158.20153,32.7862135,1322.382898,8.685413318,0.180698342,677.9957578
Busia,Cowpeas,2019,679,820,1.207658321,0.633829542,2260.662676,30.65910802,1215.086726,3.502162173,0.358131112,830.7482482
Embu,Cowpeas,2019,8404,4967,0.591028082,0.663305792,1806.545019,26.87784283,1502.33557,8.409020782,0.356219438,1007.535599
Homa Bay,Cowpeas,2019,805,804,0.998757764,0.656151183,1896.994452,31.09547256,1334.117324,3.897807188,0.340509409,945.3882839
Kakamega,Cowpeas,2019,3725,4081,1.09557047,0.662336846,2380.576329,29.12303597,1492.960212,4.231107561,0.350524949,979.6679346
Kilifi,Cowpeas,2019,7770,2651,0.341184041,0.523120898,1583.189813,33.11947726,171.0379296,3.745455583,0.256785594,881.2120238
Kisumu,Cowpeas,2019,5026,3497,0.695781934,0.562244565,1838.257432,30.22540499,1214.482579,3.623956311,0.361009173,730.6726291
Kitui,Cowpeas,2019,86314,70295,0.814410177,0.441808192,1035.645834,34.34149216,872.9373078,4.788637082,0.251983666,536.0441593
Kwale,Cowpeas,2019,3534,1080,0.305602716,0.504077362,1449.050049,33.82110301,220.4735437,3.411256644,0.244856359,787.7668519
Lamu,Cowpeas,2019,6200,4575,0.737903226,0.594352445,771.0828561,31.37002303,16.28466401,2.140860698,0.227114368,1021.488117
Machakos,Cowpeas,2019,30127,13342,0.442858565,0.450595394,1150.277556,32.31203894,1317.372316,6.150297288,0.256858386,561.6231138
Makueni,Cowpeas,2019,58448,44031,0.753336299,0.458708215,1003.934405,33.3681412,1108.702151,6.027175625,0.253284928,558.041986
Mandera,Cowpeas,2019,1161,258,0.222222222,0.317691032,510.2983246,37.96413078,502.0116105,3.695320446,0.178765788,371.8074548
Meru,Cowpeas,2019,7132,4398,0.616657319,0.53934673,1667.029435,33.20251034,1143.095259,6.098267161,0.234108235,733.0603758
Migori,Cowpeas,2019,497,320,0.643863179,0.606202364,1731.553849,31.21131597,1341.39191,4.142688741,0.327251263,916.2274483
Murang'a,Cowpeas,2019,647,242,0.374034003,0.603391611,1578.438984,28.97296768,1380.845178,10.67861964,0.290522517,903.269409
Siaya,Cowpeas,2019,617,326,0.528363047,0.64267761,1977.391475,30.75805779,1247.002109,3.684570518,0.388356252,817.1623559
Taita Taveta,Cowpeas,2019,1662,765,0.460288809,0.446319081,980.9042413,34.24972166,749.5203831,4.848806515,0.227488623,580.5618197
Tana River,Cowpeas,2019,947,808,0.853220697,0.503344932,698.238308,32.70070189,69.6510109,2.244847419,0.22032624,791.8691719
Tharaka Nithi,Cowpeas,2019,15733,7580,0.481789868,0.506208232,1531.96407,34.38878965,865.9499646,6.795469586,0.262994952,662.2047133
Baringo,Irish Potatoes,2019,3733,39084,10.46986338,0.595582782,1365.396041,28.31127102,1833.934468,12.23410077,0.223164472,863.2982395
Bomet,Irish Potatoes,2019,4193,41468,9.889816361,0.684520865,1679.283028,28.24442321,1916.710027,5.532031942,0.389263511,1107.972319
Bungoma,Irish Potatoes,2019,3164,31643,10.00094817,0.633177937,1858.12925,29.48999702,1726.035415,5.3591026,0.393338245,969.1869121
