Crop,Weighted_Mean_NDVI,Year
Maize,0.518890533,2000
Maize,0.567526469,2001
Maize,0.56721981,2002
Maize,0.573118448,2003
Maize,0.559779995,2004
Maize,0.542770358,2005
Maize,0.551765608,2006
Maize,0.595034601,2007
Maize,0.551125234,2008
Maize,0.509211825,2009
Maize,0.586128778,2010
Maize,0.55335174,2011
Maize,0.555317556,2012
Maize,0.57343918,2013
Maize,0.563890087,2014
Maize,0.547095867,2015
Maize,0.554967627,2016
Maize,0.538899834,2017
Maize,0.57188249,2018
Maize,0.567419929,2019
Maize,0.629246034,2020
Maize,0.562303668,2021
Maize,0.54543106,2022
Maize,0.574163014,2023
Rice,0.552471219,2000
Rice,0.59073612,2001
Rice,0.620786577,2002
Rice,0.634160789,2003
Rice,0.630363198,2004
Rice,0.589494548,2005
Rice,0.612305039,2006
Rice,0.649387804,2007
Rice,0.622019938,2008
Rice,0.566518446,2009
Rice,0.627759229,2010
Rice,0.604094427,2011
Rice,0.609445961,2012
Rice,0.623885069,2013
Rice,0.637755785,2014
Rice,0.617367937,2015
Rice,0.618086759,2016
Rice,0.596458671,2017
Rice,0.632236917,2018
Rice,0.657282623,2019
Rice,0.693933832,2020
Rice,0.633485853,2021
Rice,0.600400203,2022
Rice,0.632499793,2023
Sugarcane,0.597614922,2000
Sugarcane,0.631959154,2001
Sugarcane,0.622600182,2002
Sugarcane,0.62725325,2003
Sugarcane,0.614648681,2004
Sugarcane,0.609464879,2005
Sugarcane,0.617422681,2006
Sugarcane,0.647896663,2007
Sugarcane,0.61157137,2008
Sugarcane,0.59116439,2009
Sugarcane,0.639472578,2010
Sugarcane,0.622975611,2011
Sugarcane,0.611424924,2012
Sugarcane,0.633669057,2013
Sugarcane,0.628649823,2014
Sugarcane,0.609165159,2015
Sugarcane,0.60819604,2016
Sugarcane,0.607942055,2017
Sugarcane,0.61989677,2018
Sugarcane,0.632388099,2019
Sugarcane,0.673521698,2020
Sugarcane,0.633090673,2021
Sugarcane,0.619668102,2022
Sugarcane,0.646030748,2023
Tea,0.602309573,2000
Tea,0.64724717,2001
Tea,0.644554263,2002
Tea,0.660529329,2003
Tea,0.654071778,2004
Tea,0.643424597,2005
Tea,0.640882044,2006
Tea,0.677505076,2007
Tea,0.64391697,2008
Tea,0.61622904,2009
Tea,0.679320061,2010
Tea,0.653747203,2011
Tea,0.657528063,2012
Tea,0.671639176,2013
Tea,0.66315847,2014
Tea,0.643423698,2015
Tea,0.661078283,2016
Tea,0.641026419,2017
Tea,0.656276171,2018
Tea,0.656786266,2019
Tea,0.708106172,2020
Tea,0.665789222,2021
Tea,0.645269814,2022
Tea,0.673506672,2023
Wheat,0.518452763,2000
Wheat,0.604927766,2001
Wheat,0.590606517,2002
Wheat,0.610583693,2003
Wheat,0.596894069,2004
Wheat,0.581245003,2005
Wheat,0.568301693,2006
Wheat,0.621013993,2007
Wheat,0.577341136,2008
Wheat,0.517582247,2009
Wheat,0.629050668,2010
Wheat,0.58831315,2011
Wheat,0.601403342,2012
Wheat,0.611681308,2013
Wheat,0.592817258,2014
Wheat,0.577211757,2015
Wheat,0.605120849,2016
Wheat,0.567813278,2017
Wheat,0.591557384,2018
Wheat,0.581890847,2019
Wheat,0.654116721,2020
Wheat,0.597005482,2021
Wheat,0.569183419,2022
Wheat,0.590693157,2023
