Crop,Rainfall_mm,Year
Maize,991.2543231,2000
Maize,1241.764138,2001
Maize,1267.337974,2002
Maize,1135.643418,2003
Maize,1095.686872,2004
Maize,971.5124196,2005
Maize,1504.625213,2006
Maize,1188.315837,2007
Maize,1094.564553,2008
Maize,1027.837821,2009
Maize,1308.069935,2010
Maize,1275.975019,2011
Maize,1410.844485,2012
Maize,1293.836332,2013
Maize,1173.131394,2014
Maize,1307.267772,2015
Maize,1080.484749,2016
Maize,1181.338587,2017
Maize,1545.832646,2018
Maize,1533.704398,2019
Maize,1784.490176,2020
Maize,1215.043505,2021
Maize,1296.70973,2022
Maize,1422.388697,2023
Rice,850.9242209,2000
Rice,1242.024533,2001
Rice,1334.085093,2002
Rice,1261.043658,2003
Rice,1016.65119,2004
Rice,971.7200175,2005
Rice,1509.310821,2006
Rice,1216.536233,2007
Rice,1047.066387,2008
Rice,996.8403074,2009
Rice,1263.732568,2010
Rice,1236.640057,2011
Rice,1469.692309,2012
Rice,1300.902285,2013
Rice,1217.67074,2014
Rice,1411.288082,2015
Rice,1139.670468,2016
Rice,1121.708725,2017
Rice,1807.052345,2018
Rice,1683.410648,2019
Rice,1894.791173,2020
Rice,1237.19276,2021
Rice,1214.55086,2022
Rice,1483.2578,2023
Sugarcane,1355.680401,2000
Sugarcane,1643.924375,2001
Sugarcane,1689.936556,2002
Sugarcane,1539.765461,2003
Sugarcane,1420.86022,2004
Sugarcane,1326.933695,2005
Sugarcane,1932.4154,2006
Sugarcane,1616.163569,2007
Sugarcane,1555.538311,2008
Sugarcane,1457.841353,2009
Sugarcane,1785.007152,2010
Sugarcane,1764.021815,2011
Sugarcane,1921.586885,2012
Sugarcane,1714.788135,2013
Sugarcane,1703.688035,2014
Sugarcane,1723.443822,2015
Sugarcane,1396.060929,2016
Sugarcane,1691.439741,2017
Sugarcane,1820.900301,2018
Sugarcane,1955.199204,2019
Sugarcane,2437.466374,2020
Sugarcane,1693.499796,2021
Sugarcane,1921.271067,2022
Sugarcane,1893.261448,2023
Tea,1111.508038,2000
Tea,1448.844004,2001
Tea,1428.124807,2002
Tea,1354.514082,2003
Tea,1300.119107,2004
Tea,1181.37699,2005
Tea,1601.215479,2006
Tea,1378.592405,2007
Tea,1232.3931,2008
Tea,1156.992009,2009
Tea,1546.911564,2010
Tea,1515.158279,2011
Tea,1672.073248,2012
Tea,1528.132771,2013
Tea,1327.537141,2014
Tea,1404.762198,2015
Tea,1279.026919,2016
Tea,1361.739718,2017
Tea,1795.75382,2018
Tea,1675.337653,2019
Tea,2046.73937,2020
Tea,1449.835835,2021
Tea,1579.276609,2022
Tea,1575.370266,2023
Wheat,835.072341,2000
Wheat,1170.410494,2001
Wheat,1232.797767,2002
Wheat,1194.852688,2003
Wheat,1086.624783,2004
Wheat,977.1279583,2005
Wheat,1310.410837,2006
Wheat,1179.612653,2007
Wheat,939.1393557,2008
Wheat,938.6929111,2009
Wheat,1286.884672,2010
Wheat,1278.963495,2011
Wheat,1356.284615,2012
Wheat,1314.489986,2013
Wheat,1051.222154,2014
Wheat,1146.340928,2015
Wheat,1122.182469,2016
Wheat,1097.494797,2017
Wheat,1649.012422,2018
Wheat,1410.413999,2019
Wheat,1713.875863,2020
Wheat,1147.633668,2021
Wheat,1242.202696,2022
Wheat,1235.574415,2023
