Crop,Weighted_Mean_Temperature_C,Year
Maize,31.86873417,2000
Maize,30.31652434,2001
Maize,29.99785435,2002
Maize,30.49153908,2003
Maize,30.38873111,2004
Maize,31.12398949,2005
Maize,30.31632014,2006
Maize,29.40504065,2007
Maize,30.68164562,2008
Maize,32.05638645,2009
Maize,29.51946562,2010
Maize,30.77213255,2011
Maize,30.58859676,2012
Maize,29.73359054,2013
Maize,30.31719605,2014
Maize,31.035313,2015
Maize,30.71845272,2016
Maize,31.56166702,2017
Maize,29.83907372,2018
Maize,30.62630952,2019
Maize,28.71288874,2020
Maize,30.21392897,2021
Maize,29.81076759,2022
Maize,29.2672808,2023
Rice,30.68419388,2000
Rice,28.88378464,2001
Rice,27.88973768,2002
Rice,28.5307713,2003
Rice,28.69353545,2004
Rice,29.18834449,2005
Rice,28.04559973,2006
Rice,27.51197842,2007
Rice,28.3231842,2008
Rice,29.58530381,2009
Rice,27.67377344,2010
Rice,28.51955546,2011
Rice,28.31700611,2012
Rice,27.82525745,2013
Rice,27.91707068,2014
Rice,28.50277526,2015
Rice,28.60082145,2016
Rice,29.06960255,2017
Rice,27.69683056,2018
Rice,27.91144625,2019
Rice,26.87261476,2020
Rice,27.91516046,2021
Rice,27.84209867,2022
Rice,27.31410766,2023
Sugarcane,30.7438327,2000
Sugarcane,29.97012916,2001
Sugarcane,30.01193737,2002
Sugarcane,30.41756076,2003
Sugarcane,30.22327087,2004
Sugarcane,30.65181708,2005
Sugarcane,29.97366314,2006
Sugarcane,29.41717685,2007
Sugarcane,30.14210176,2008
Sugarcane,30.73039251,2009
Sugarcane,29.52399424,2010
Sugarcane,30.19854217,2011
Sugarcane,30.23917327,2012
Sugarcane,29.48325492,2013
Sugarcane,29.71681802,2014
Sugarcane,30.34795544,2015
Sugarcane,30.67301153,2016
Sugarcane,30.73774794,2017
Sugarcane,29.78529791,2018
Sugarcane,30.14595756,2019
Sugarcane,28.53441421,2020
Sugarcane,29.35414802,2021
Sugarcane,28.85994801,2022
Sugarcane,28.68770426,2023
Tea,28.53867526,2000
Tea,26.93851408,2001
Tea,26.89438318,2002
Tea,27.1503367,2003
Tea,26.95744761,2004
Tea,27.48471207,2005
Tea,26.78906434,2006
Tea,26.09296606,2007
Tea,27.07984922,2008
Tea,28.17106468,2009
Tea,25.8140008,2010
Tea,26.98681834,2011
Tea,26.69241453,2012
Tea,25.90645413,2013
Tea,26.52555157,2014
Tea,27.3888159,2015
Tea,26.84706946,2016
Tea,27.93207105,2017
Tea,26.44815922,2018
Tea,27.09940568,2019
Tea,25.41318376,2020
Tea,26.31412271,2021
Tea,26.28263821,2022
Tea,25.72988452,2023
Wheat,28.96923899,2000
Wheat,26.06682207,2001
Wheat,26.40007479,2002
Wheat,26.26071631,2003
Wheat,26.37150089,2004
Wheat,27.13609563,2005
Wheat,26.6854381,2006
Wheat,25.07024624,2007
Wheat,26.88296382,2008
Wheat,29.41711133,2009
Wheat,25.09720179,2010
Wheat,26.75829389,2011
Wheat,26.03793705,2012
Wheat,25.37790234,2013
Wheat,26.54051644,2014
Wheat,27.42170944,2015
Wheat,26.28366593,2016
Wheat,28.20524445,2017
Wheat,26.20714749,2018
Wheat,27.25193624,2019
Wheat,24.85219709,2020
Wheat,26.42259289,2021
Wheat,26.54408777,2022
Wheat,26.03620062,2023
